Date,PE10
1871-01-01,
1871-02-01,
1871-03-01,
1871-04-01,
1871-05-01,
1871-06-01,
1871-07-01,
1871-08-01,
1871-09-01,
1871-10-01,
1871-11-01,
1871-12-01,
1872-01-01,
1872-02-01,
1872-03-01,
1872-04-01,
1872-05-01,
1872-06-01,
1872-07-01,
1872-08-01,
1872-09-01,
1872-10-01,
1872-11-01,
1872-12-01,
1873-01-01,
1873-02-01,
1873-03-01,
1873-04-01,
1873-05-01,
1873-06-01,
1873-07-01,
1873-08-01,
1873-09-01,
1873-10-01,
1873-11-01,
1873-12-01,
1874-01-01,
1874-02-01,
1874-03-01,
1874-04-01,
1874-05-01,
1874-06-01,
1874-07-01,
1874-08-01,
1874-09-01,
1874-10-01,
1874-11-01,
1874-12-01,
1875-01-01,
1875-02-01,
1875-03-01,
1875-04-01,
1875-05-01,
1875-06-01,
1875-07-01,
1875-08-01,
1875-09-01,
1875-10-01,
1875-11-01,
1875-12-01,
1876-01-01,
1876-02-01,
1876-03-01,
1876-04-01,
1876-05-01,
1876-06-01,
1876-07-01,
1876-08-01,
1876-09-01,
1876-10-01,
1876-11-01,
1876-12-01,
1877-01-01,
1877-02-01,
1877-03-01,
1877-04-01,
1877-05-01,
1877-06-01,
1877-07-01,
1877-08-01,
1877-09-01,
1877-10-01,
1877-11-01,
1877-12-01,
1878-01-01,
1878-02-01,
1878-03-01,
1878-04-01,
1878-05-01,
1878-06-01,
1878-07-01,
1878-08-01,
1878-09-01,
1878-10-01,
1878-11-01,
1878-12-01,
1879-01-01,
1879-02-01,
1879-03-01,
1879-04-01,
1879-05-01,
1879-06-01,
1879-07-01,
1879-08-01,
1879-09-01,
1879-10-01,
1879-11-01,
1879-12-01,
1880-01-01,
1880-02-01,
1880-03-01,
1880-04-01,
1880-05-01,
1880-06-01,
1880-07-01,
1880-08-01,
1880-09-01,
1880-10-01,
1880-11-01,
1880-12-01,
1881-01-01,18.47
1881-02-01,18.15
1881-03-01,18.27
1881-04-01,17.95
1881-05-01,18.87
1881-06-01,19.03
1881-07-01,18.12
1881-08-01,17.29
1881-09-01,16.72
1881-10-01,16.26
1881-11-01,16.48
1881-12-01,15.96
1882-01-01,15.68
1882-02-01,15.15
1882-03-01,15.09
1882-04-01,14.92
1882-05-01,14.57
1882-06-01,14.33
1882-07-01,15.24
1882-08-01,15.53
1882-09-01,16.08
1882-10-01,15.76
1882-11-01,15.19
1882-12-01,15.38
1883-01-01,15.27
1883-02-01,14.76
1883-03-01,15.05
1883-04-01,15.48
1883-05-01,15.34
1883-06-01,15.9
1883-07-01,15.95
1883-08-01,15.2
1883-09-01,15.49
1883-10-01,15.05
1883-11-01,15.41
1883-12-01,14.9
1884-01-01,14.43
1884-02-01,14.81
1884-03-01,14.74
1884-04-01,14.35
1884-05-01,13.47
1884-06-01,12.91
1884-07-01,13.04
1884-08-01,13.86
1884-09-01,13.57
1884-10-01,13.27
1884-11-01,13.3
1884-12-01,13.43
1885-01-01,13.13
1885-02-01,13.38
1885-03-01,13.73
1885-04-01,13.55
1885-05-01,13.71
1885-06-01,13.98
1885-07-01,14.33
1885-08-01,15.13
1885-09-01,15.12
1885-10-01,15.99
1885-11-01,16.82
1885-12-01,16.3
1886-01-01,16.69
1886-02-01,17.01
1886-03-01,16.84
1886-04-01,16.8
1886-05-01,16.86
1886-06-01,17.83
1886-07-01,17.85
1886-08-01,17.72
1886-09-01,18.15
1886-10-01,18.56
1886-11-01,18.97
1886-12-01,18.19
1887-01-01,17.51
1887-02-01,17.13
1887-03-01,17.47
1887-04-01,17.82
1887-05-01,18.08
1887-06-01,17.71
1887-07-01,17.43
1887-08-01,16.74
1887-09-01,16.68
1887-10-01,15.88
1887-11-01,15.95
1887-12-01,15.46
1888-01-01,15.36
1888-02-01,15.42
1888-03-01,14.81
1888-04-01,15.02
1888-05-01,15.39
1888-06-01,15.08
1888-07-01,15.28
1888-08-01,15.6
1888-09-01,15.99
1888-10-01,15.72
1888-11-01,15.22
1888-12-01,14.95
1889-01-01,15.8
1889-02-01,16.19
1889-03-01,16.07
1889-04-01,16.05
1889-05-01,16.92
1889-06-01,17.22
1889-07-01,16.89
1889-08-01,17.13
1889-09-01,17.35
1889-10-01,17.05
1889-11-01,16.91
1889-12-01,16.61
1890-01-01,17.22
1890-02-01,17.03
1890-03-01,16.9
1890-04-01,17.26
1890-05-01,17.79
1890-06-01,17.68
1890-07-01,17.59
1890-08-01,16.6
1890-09-01,16.17
1890-10-01,15.48
1890-11-01,14.75
1890-12-01,14.44
1891-01-01,15.43
1891-02-01,15.48
1891-03-01,15.05
1891-04-01,15.41
1891-05-01,15.57
1891-06-01,15.66
1891-07-01,15.62
1891-08-01,16.16
1891-09-01,17.71
1891-10-01,17.72
1891-11-01,17.67
1891-12-01,18.21
1892-01-01,19.02
1892-02-01,19.04
1892-03-01,19.74
1892-04-01,19.94
1892-05-01,19.91
1892-06-01,19.77
1892-07-01,19.21
1892-08-01,19.2
1892-09-01,18.69
1892-10-01,19.04
1892-11-01,18.46
1892-12-01,18.01
1893-01-01,17.66
1893-02-01,17.13
1893-03-01,16.9
1893-04-01,17.1
1893-05-01,15.78
1893-06-01,15.42
1893-07-01,14.35
1893-08-01,14.59
1893-09-01,15.01
1893-10-01,15.27
1893-11-01,15.94
1893-12-01,15.61
1894-01-01,15.74
1894-02-01,16.2
1894-03-01,17.19
1894-04-01,17.43
1894-05-01,16.81
1894-06-01,16.61
1894-07-01,16.29
1894-08-01,16.46
1894-09-01,16.52
1894-10-01,16.5
1894-11-01,16.54
1894-12-01,16.67
1895-01-01,16.52
1895-02-01,16.33
1895-03-01,16.36
1895-04-01,16.39
1895-05-01,17.08
1895-06-01,17.21
1895-07-01,17.55
1895-08-01,18.07
1895-09-01,18.2
1895-10-01,17.94
1895-11-01,17.34
1895-12-01,16.55
1896-01-01,16.58
1896-02-01,17.52
1896-03-01,17.23
1896-04-01,17.64
1896-05-01,17.83
1896-06-01,17.78
1896-07-01,16.64
1896-08-01,15.7
1896-09-01,16.54
1896-10-01,16.44
1896-11-01,17.09
1896-12-01,16.5
1897-01-01,17.03
1897-02-01,16.89
1897-03-01,16.96
1897-04-01,16.7
1897-05-01,17.05
1897-06-01,17.85
1897-07-01,18.65
1897-08-01,19.01
1897-09-01,19.37
1897-10-01,19.03
1897-11-01,18.36
1897-12-01,18.75
1898-01-01,19.25
1898-02-01,18.92
1898-03-01,18.04
1898-04-01,17.71
1898-05-01,17.6
1898-06-01,19.54
1898-07-01,19.86
1898-08-01,20.54
1898-09-01,20.44
1898-10-01,19.95
1898-11-01,20.53
1898-12-01,21.4
1899-01-01,22.93
1899-02-01,23.05
1899-03-01,23.28
1899-04-01,23.15
1899-05-01,22.09
1899-06-01,21.21
1899-07-01,21.56
1899-08-01,21.73
1899-09-01,20.59
1899-10-01,20.15
1899-11-01,20.2
1899-12-01,18.51
1/1/1900,18.67
2/1/1900,18.7
3/1/1900,18.78
4/1/1900,18.94
5/1/1900,18.4
6/1/1900,17.99
7/1/1900,17.69
8/1/1900,18.07
9/1/1900,17.34
10/1/1900,18.1
11/1/1900,19.42
12/1/1900,20.74
1/1/1901,20.98
2/1/1901,21.68
3/1/1901,22.35
4/1/1901,24.41
5/1/1901,23.06
6/1/1901,25.24
7/1/1901,23.14
8/1/1901,23.08
9/1/1901,22.59
10/1/1901,22.25
11/1/1901,22.38
12/1/1901,21.68
1/1/1902,22.34
2/1/1902,22.46
3/1/1902,22.41
