Date,Open,High,Low,Close,Adj Close,Volume
1999-01-01,21.937500,23.390625,20.953125,21.109375,12.694263,497500
1999-02-01,21.281250,22.437500,20.921875,21.437500,12.891582,188100
1999-03-01,21.281250,22.625000,20.843750,21.750000,13.079508,314000
1999-04-01,21.781250,27.796875,21.781250,27.125000,16.366659,4545100
1999-05-01,27.218750,28.484375,24.656250,24.656250,14.877070,2098900
1999-06-01,24.906250,27.078125,24.859375,26.000000,15.687865,1322900
1999-07-01,26.140625,26.984375,25.484375,25.703125,15.557099,908200
1999-08-01,25.531250,26.937500,24.546875,24.546875,14.857268,640800
1999-09-01,24.546875,25.531250,22.781250,23.703125,14.346578,1167500
1999-10-01,23.906250,24.718750,23.187500,24.265625,14.732854,1217200
1999-11-01,24.406250,25.109375,23.593750,23.921875,14.524137,887600
1999-12-01,24.031250,26.671875,23.828125,26.578125,16.136871,4132100
2000-01-01,26.671875,27.937500,22.843750,23.328125,14.223205,4019000
2000-02-01,23.328125,23.984375,20.765625,20.984375,12.794219,1341100
2000-03-01,21.234375,23.484375,19.687500,23.046875,14.051715,2419300
2000-04-01,23.437500,25.156250,21.781250,22.281250,13.617156,2454500
2000-05-01,22.078125,23.781250,21.468750,21.578125,13.187440,3450800
2000-06-01,21.234375,22.062500,19.640625,19.640625,12.003341,1303500
2000-07-01,19.968750,21.250000,19.468750,19.812500,12.165295,754200
2000-08-01,19.890625,21.375000,19.718750,20.265625,12.443524,756100
2000-09-01,20.156250,20.843750,17.140625,18.171875,11.157917,3018300
2000-10-01,18.125000,19.921875,17.000000,19.765625,12.208013,1060900
2000-11-01,19.875000,20.125000,18.671875,19.265625,11.899196,1123800
2000-12-01,19.640625,22.000000,19.390625,21.421875,13.230983,1968400
2001-01-01,21.750000,21.890625,19.156250,20.850000,13.213242,1976700
2001-02-01,21.219999,21.350000,20.000000,21.120001,13.384353,1521500
2001-03-01,21.180000,22.860001,19.030001,19.969999,12.655566,1912200
2001-04-01,20.480000,22.620001,19.500000,22.100000,14.070143,1876700
2001-05-01,22.049999,24.629999,21.980000,22.950001,14.611305,2406900
2001-06-01,23.160000,23.799999,21.320000,22.059999,14.044683,1510300
2001-07-01,21.959999,22.780001,21.030001,22.000000,14.068656,1157200
2001-08-01,22.100000,22.500000,21.120001,21.910000,14.011103,919200
2001-09-01,21.650000,22.309999,17.049999,19.200001,12.278101,663200
2001-10-01,19.200001,20.690001,18.840000,19.719999,12.686089,1585700
2001-11-01,19.920000,22.280001,19.660000,22.219999,14.294361,1306900
2001-12-01,21.799999,23.000000,21.190001,21.420000,13.779714,7046600
2002-01-01,21.440001,22.670000,19.690001,21.920000,14.189933,4836100
2002-02-01,22.100000,23.290001,21.299999,23.080000,14.940867,30601900
2002-03-01,22.969999,24.150000,22.930000,23.709999,15.348689,11567300
2002-04-01,23.520000,23.930000,22.150000,22.590000,14.672840,12983800
2002-05-01,22.600000,24.440001,22.360001,23.709999,15.400308,7729600
2002-06-01,23.700001,23.809999,22.250000,23.190001,15.062556,6091900
2002-07-01,23.150000,23.240000,18.160000,20.559999,13.421196,7479600
2002-08-01,20.600000,21.120001,18.879999,20.450001,13.349395,5296500
2002-09-01,20.250000,20.490000,17.260000,17.690001,11.547715,5078600
2002-10-01,17.879999,19.600000,16.530001,18.700001,12.279992,6699600
2002-11-01,18.520000,21.000000,18.350000,20.950001,13.757533,1525000
2002-12-01,21.150000,21.150000,19.530001,19.840000,13.028615,3832400
2003-01-01,20.040001,20.770000,18.600000,18.850000,12.472355,4620500
2003-02-01,18.790001,19.110001,17.820000,18.350000,12.141523,2871100
2003-03-01,18.320000,19.660000,17.010000,18.379999,12.161373,6823200
2003-04-01,18.450001,20.190001,18.160000,20.040001,13.319839,8653000
2003-05-01,19.980000,20.690001,19.639999,20.660000,13.731924,6574700
2003-06-01,20.799999,21.670000,20.540001,20.730000,13.778454,5482200
2003-07-01,20.660000,22.600000,20.350000,22.360001,14.945313,5969500
2003-08-01,22.350000,23.299999,21.510000,22.980000,15.359713,13963500
2003-09-01,23.100000,23.340000,21.700001,21.830000,14.591056,21776100
2003-10-01,21.959999,24.090000,21.910000,23.910000,16.065428,12257200
2003-11-01,23.910000,24.500000,23.270000,24.450001,16.428261,9295800
2003-12-01,24.600000,27.000000,24.600000,26.690001,17.933353,17955000
