Date,Open,Close
1/1/1985,11.7,11.17
2/1/1985,11.29,11.91
3/1/1985,11.86,11.65
4/1/1985,11.66,11.41
5/1/1985,11.27,10.28
6/1/1985,10.05,10.25
7/1/1985,10.19,10.57
8/1/1985,10.51,10.28
9/1/1985,10.24,10.31
10/1/1985,10.29,10.01
11/1/1985,9.98,9.59
12/1/1985,9.69,9
1/1/1986,9.04,9.08
2/1/1986,9.02,8.13
3/1/1986,7.99,7.39
4/1/1986,7.37,7.38
5/1/1986,7.45,8.05
6/1/1986,8.32,7.35
7/1/1986,7.37,7.34
8/1/1986,7.34,6.95
9/1/1986,7.03,7.45
10/1/1986,7.41,7.34
11/1/1986,7.29,7.15
12/1/1986,7.18,7.23
1/1/1987,7.18,7.18
2/1/1987,7.23,7.19
3/1/1987,7.17,7.51
4/1/1987,7.59,8.21
5/1/1987,8.39,8.49
6/1/1987,8.45,8.38
7/1/1987,8.36,8.66
8/1/1987,8.81,9
9/1/1987,9.05,9.63
10/1/1987,9.66,8.88
11/1/1987,8.98,8.99
12/1/1987,9.01,8.83
1/1/1988,8.83,8.26
2/1/1988,8.26,8.16
3/1/1988,8.15,8.57
4/1/1988,8.68,8.87
5/1/1988,8.94,9.2
6/1/1988,9.03,8.82
7/1/1988,8.77,9.12
8/1/1988,9.07,9.25
9/1/1988,9.25,8.87
10/1/1988,8.84,8.65
11/1/1988,8.68,9.06
12/1/1988,9.01,9.14
1/1/1989,9.23,9.01
2/1/1989,8.99,9.32
3/1/1989,9.36,9.3
4/1/1989,9.21,9.02
5/1/1989,9.14,8.6
6/1/1989,8.61,8.1
7/1/1989,8.09,7.82
8/1/1989,7.74,8.26
9/1/1989,8.19,8.31
10/1/1989,8.28,7.92
11/1/1989,7.91,7.84
12/1/1989,7.81,7.93
1/1/1990,7.94,8.43
2/1/1990,8.42,8.51
3/1/1990,8.59,8.65
4/1/1990,8.65,9.04
5/1/1990,9.08,8.6
6/1/1990,8.44,8.43
7/1/1990,8.43,8.36
8/1/1990,8.29,8.86
9/1/1990,8.9,8.82
10/1/1990,8.71,8.65
11/1/1990,8.57,8.26
12/1/1990,8.22,8.08
1/1/1991,7.97,8.03
2/1/1991,7.91,8.02
3/1/1991,8.12,8.05
4/1/1991,8.07,8.02
5/1/1991,8.01,8.06
6/1/1991,8.14,8.24
7/1/1991,8.26,8.2
8/1/1991,8.2,7.82
9/1/1991,7.81,7.47
10/1/1991,7.45,7.47
11/1/1991,7.48,7.38
12/1/1991,7.32,6.71
1/1/1992,6.78,7.31
2/1/1992,7.36,7.27
3/1/1992,7.38,7.54
4/1/1992,7.46,7.61
5/1/1992,7.56,7.33
6/1/1992,7.39,7.14
7/1/1992,7.1,6.72
8/1/1992,6.72,6.62
9/1/1992,6.56,6.37
10/1/1992,6.23,6.8
11/1/1992,6.88,6.95
12/1/1992,6.94,6.7
1/1/1993,6.6,6.39
2/1/1993,6.38,6.03
3/1/1993,5.94,6.03
4/1/1993,6.06,6.05
5/1/1993,5.96,6.16
6/1/1993,6.07,5.8
7/1/1993,5.8,5.83
8/1/1993,5.85,5.45
9/1/1993,5.46,5.4
10/1/1993,5.34,5.388
11/1/1993,5.56,5.795
